tweet_date,the_airline,Vader_com,airline_posts_count,user_followers_count,airline_mentions_count
2019-06-03,EtihadAirways,0.7305571428571429,14.0,653103.1428571428,66.0
2019-06-03,KLM,0.23879999999999998,192.0,2336484.1354166665,1475.0
2019-06-03,Lufthansa,0.18844411764705882,142.0,428322.78873239434,1167.0
2019-06-03,Qantas,0.37989298245614034,114.0,480033.2456140351,150.0
2019-06-03,RyanAir,0.22464871794871794,240.0,413938.1,314.0
2019-06-03,SingaporeanAir,0.6161017543859649,114.0,694489.4561403509,184.0
2019-06-03,VirginAtlantic,0.410065,132.0,599760.7121212122,272.0
2019-06-03,easyJet,0.3995148717948718,436.0,467443.3211009174,360.0
2019-06-04,AirFrance,0.495375,42.0,339831.2380952381,106.0
2019-06-04,AmericanAir,0.34964336842105265,950.0,1558972.7115789473,288.0
2019-06-04,British_Airways,0.35011745222929935,787.0,1217827.3811944092,304.0
2019-06-04,EtihadAirways,0.3417666666666667,6.0,653193.0,46.0
2019-06-04,KLM,0.31242644628099175,211.0,2336512.184834123,1031.0
2019-06-04,Lufthansa,0.26517882352941174,89.0,428426.23595505615,826.0
2019-06-04,Qantas,0.5605659090909091,88.0,480090.4090909091,156.0
2019-06-04,RyanAir,0.3477664804469274,179.0,414015.3910614525,214.0
2019-06-04,SingaporeanAir,0.5744509433962265,106.0,694590.5471698113,156.0
2019-06-04,VirginAtlantic,0.296178125,128.0,599831.953125,254.0
2019-06-04,easyJet,0.3122052631578947,353.0,467503.3541076487,252.0
2019-06-05,AirFrance,0.5418000000000001,62.0,339889.0,76.0
2019-06-05,AmericanAir,0.37214051565377537,1086.0,1559174.6961325966,182.0
2019-06-05,British_Airways,0.27278280423280427,758.0,1218032.1108179418,328.0
2019-06-05,EtihadAirways,0.05135,4.0,653290.0,68.0
2019-06-05,KLM,0.3073962962962963,230.0,2336562.9217391303,1352.0
2019-06-05,Lufthansa,0.17688363636363635,112.0,428535.9285714286,1010.0
2019-06-05,Qantas,0.5065999999999999,80.0,480157.75,38.0
2019-06-05,RyanAir,0.2189547619047619,174.0,414100.8275862069,234.0
2019-06-05,SingaporeanAir,0.5911838709677419,62.0,694691.3548387097,334.0
2019-06-05,VirginAtlantic,0.4883731707317073,86.0,599899.2790697674,180.0
2019-06-05,easyJet,0.3943132075471698,358.0,467561.8379888268,452.0
2019-06-06,AirFrance,0.39389583333333333,64.0,339949.71875,58.0
2019-06-06,AmericanAir,0.3318117415287628,1269.0,1559346.3924349882,108.0
2019-06-06,British_Airways,0.2958719225449516,725.0,1218212.9834482758,294.0
2019-06-06,EtihadAirways,0.49794,12.0,653389.1666666666,82.0
2019-06-06,KLM,0.389195575221239,176.0,2336597.25,1488.0
2019-06-06,Lufthansa,0.30745470085470084,121.0,428596.2231404959,873.0
2019-06-06,Qantas,0.5018529411764706,51.0,480221.17647058825,28.0
2019-06-06,RyanAir,0.21894545454545453,188.0,414195.27659574465,315.0
2019-06-06,SingaporeanAir,0.6620533333333333,30.0,694755.9333333333,259.0
2019-06-06,VirginAtlantic,0.4960595238095238,176.0,599931.1022727273,161.0
2019-06-06,easyJet,0.4298739130434783,324.0,467622.8086419753,388.0
2019-06-07,AirFrance,0.4309288461538462,63.0,339975.20634920633,25.0
2019-06-07,AmericanAir,0.3200149161518094,1133.0,1559477.9858781996,218.0
2019-06-07,British_Airways,0.3142178690344062,905.0,1218339.8751381217,318.0
